ID;__type;MARSTD;SEX;MARST;AGE;RELATE;RELATED;parentId;parent__type;HHTYPE;NMOTHERS;NFATHERS;count_parent_children;count_children
 ; ;"100";"2";"1";"15";"3";"3100";untyped_372; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"9";"3";"3100";untyped_429; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"35";"6";"6000";untyped_910; ;"10";"3";"2";8;0
 ; ;"200";"2";"2";"45";"2";"2000";untyped_995; ;"6";"2";"2";5;0
 ; ;"200";"2";"2";"45";"3";"3100";untyped_2223; ;"10";"2";"0";7;0
 ; ;"100";"2";"1";"26";"3";"3100";untyped_1332; ;"3";"1";"1";5;0
 ; ;"100";"1";"1";"19";"6";"6000";untyped_1707; ;"10";"0";"0";4;0
 ; ;"100";"1";"1";"23";"3";"3100";untyped_2443; ;"10";"1";"1";4;0
 ; ;"200";"1";"2";"51";"1";"1000";untyped_970; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"18";"1";"1000";untyped_1002; ;"10";"0";"0";2;0
 ; ;"100";"2";"1";"15";"4";"4100";untyped_2247; ;"6";"0";"0";3;0
 ; ;"200";"2";"2";"27";"2";"2000";untyped_793; ;"2";"0";"0";2;0
 ; ;"200";"2";"2";"28";"6";"6000";untyped_901; ;"10";"1";"1";5;0
 ; ;"200";"2";"2";"49";"1";"1000";untyped_48; ;"4";"1";"0";3;0
 ; ;"100";"2";"1";"20";"6";"6000";untyped_847; ;"10";"1";"1";4;0
 ; ;"200";"1";"2";"52";"1";"1000";untyped_1152; ;"3";"1";"1";5;0
 ; ;"200";"1";"2";"46";"3";"3100";untyped_1063; ;"10";"2";"2";7;0
 ; ;"200";"1";"2";"55";"1";"1000";untyped_1092; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"32";"2";"2000";untyped_2298; ;"3";"1";"1";3;0
 ; ;"200";"1";"2";"49";"1";"1000";untyped_151; ;"3";"1";"1";4;0
 ; ;"400";"2";"4";"83";"4";"4200";untyped_2734; ;"6";"2";"0";3;0
 ; ;"200";"2";"2";"45";"2";"2000";untyped_2009; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"23";"3";"3100";untyped_2436; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"22";"6";"6000";untyped_2382; ;"10";"1";"0";5;0
 ; ;"200";"2";"2";"56";"1";"1000";untyped_2052; ;"10";"2";"2";7;0
 ; ;"100";"2";"1";"20";"3";"3100";untyped_1119; ;"6";"2";"1";5;0
 ; ;"200";"1";"2";"45";"3";"3100";untyped_2296; ;"10";"2";"1";5;0
 ; ;"200";"2";"2";"26";"2";"2000";untyped_537; ;"3";"1";"1";3;0
 ; ;"200";"2";"2";"30";"3";"3100";untyped_1205; ;"10";"2";"1";4;0
 ; ;"400";"2";"4";"56";"1";"1000";untyped_2461; ;"4";"1";"0";2;0
 ; ;"200";"1";"2";"73";"1";"1000";untyped_781; ;"3";"1";"1";3;0
 ; ;"200";"2";"2";"72";"1";"1000";untyped_252; ;"10";"3";"3";9;0
 ; ;"400";"2";"4";"74";"1";"1000";untyped_242; ;"10";"2";"1";5;0
 ; ;"100";"2";"1";"17";"6";"6000";untyped_1632; ;"10";"1";"1";5;0
 ; ;"200";"1";"2";"30";"3";"3100";untyped_1443; ;"10";"2";"2";9;0
 ; ;"400";"2";"4";"65";"1";"1000";untyped_2195; ;"10";"2";"1";5;0
 ; ;"100";"2";"1";"31";"3";"3100";untyped_792; ;"6";"2";"1";5;0
 ; ;"200";"2";"2";"26";"1";"1000";untyped_2140; ;"2";"0";"0";2;0
 ; ;"200";"1";"2";"35";"1";"1000";untyped_418; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"6";"4";"4100";untyped_1141; ;"10";"2";"2";6;0
 ; ;"400";"2";"4";"60";"4";"4200";untyped_1959; ;"10";"2";"1";6;0
 ; ;"100";"1";"1";"23";"6";"6000";untyped_1261; ;"10";"0";"0";3;0
 ; ;"100";"1";"1";"5";"3";"3100";untyped_646; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"40";"3";"3100";untyped_789; ;"4";"1";"0";3;0
 ; ;"100";"2";"1";"22";"4";"4100";untyped_1464; ;"6";"1";"2";6;0
 ; ;"200";"2";"2";"31";"1";"1000";untyped_2523; ;"4";"1";"0";3;0
 ; ;"100";"1";"1";"26";"3";"3100";untyped_1639; ;"6";"2";"1";5;0
 ; ;"100";"1";"1";"5";"3";"3100";untyped_805; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"13";"3";"3100";untyped_898; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"10";"3";"3100";untyped_2349; ;"3";"1";"1";3;0
 ; ;"100";"1";"1";"20";"1";"1000";untyped_1074; ;"10";"0";"0";4;0
 ; ;"200";"2";"2";"44";"2";"2000";untyped_1216; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"16";"3";"3100";untyped_1232; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"61";"2";"2000";untyped_2582; ;"10";"2";"2";5;0
 ; ;"100";"2";"1";"7";"3";"3100";untyped_264; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"69";"1";"1000";untyped_1415; ;"2";"0";"0";2;0
 ; ;"100";"2";"1";"24";"3";"3100";untyped_573; ;"10";"1";"1";5;0
 ; ;"100";"2";"1";"19";"4";"4100";untyped_1675; ;"10";"2";"1";8;0
 ; ;"100";"1";"1";"7";"4";"4100";untyped_1055; ;"10";"2";"2";9;0
 ; ;"350";"1";"3";"38";"3";"3100";untyped_1733; ;"6";"1";"1";4;0
 ; ;"100";"2";"1";"18";"3";"3100";untyped_2045; ;"4";"1";"0";3;0
 ; ;"200";"1";"2";"56";"2";"2000";untyped_791; ;"3";"1";"1";3;0
 ; ;"200";"2";"2";"63";"2";"2000";untyped_412; ;"2";"0";"0";2;0
 ; ;"100";"1";"1";"2";"4";"4100";untyped_1871; ;"6";"3";"1";8;0
 ; ;"100";"2";"1";"16";"3";"3100";untyped_2172; ;"3";"1";"1";4;0
 ; ;"350";"2";"3";"38";"1";"1000";untyped_2387; ;"4";"1";"0";2;0
 ; ;"100";"2";"1";"12";"3";"3100";untyped_2401; ;"6";"2";"1";5;0
 ; ;"100";"1";"1";"15";"4";"4100";untyped_2529; ;"6";"1";"1";4;0
 ; ;"200";"2";"2";"57";"1";"1000";untyped_561; ;"6";"2";"1";5;0
 ; ;"100";"2";"1";"46";"6";"6000";untyped_864; ;"10";"1";"1";5;0
 ; ;"200";"2";"2";"47";"2";"2000";untyped_642; ;"10";"1";"1";5;0
 ; ;"200";"2";"2";"54";"2";"2000";untyped_89; ;"3";"1";"1";3;0
 ; ;"200";"2";"2";"61";"1";"1000";untyped_2154; ;"3";"1";"1";3;0
 ; ;"200";"2";"2";"25";"6";"6000";untyped_1286; ;"10";"1";"1";4;0
 ; ;"200";"1";"2";"28";"6";"6000";untyped_1413; ;"10";"2";"2";6;0
 ; ;"200";"1";"2";"28";"3";"3100";untyped_811; ;"10";"2";"2";6;0
 ; ;"200";"2";"2";"62";"1";"1000";untyped_92; ;"10";"2";"1";4;0
 ; ;"200";"2";"2";"63";"1";"1000";untyped_348; ;"4";"1";"0";3;0
 ; ;"100";"2";"1";"3";"4";"4100";untyped_43; ;"10";"2";"1";5;0
 ; ;"100";"1";"1";"35";"3";"3100";untyped_1711; ;"6";"1";"0";3;0
 ; ;"100";"1";"1";"2";"4";"4100";untyped_878; ;"10";"2";"1";5;0
 ; ;"100";"2";"1";"28";"3";"3100";untyped_2691; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"48";"1";"1000";untyped_2360; ;"10";"1";"1";4;0
 ; ;"100";"1";"1";"5";"3";"3100";untyped_2211; ;"10";"1";"1";6;0
 ; ;"200";"2";"2";"32";"2";"2000";untyped_605; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"47";"1";"1000";untyped_116; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"24";"6";"6000";untyped_984; ;"10";"0";"0";2;0
 ; ;"200";"1";"2";"67";"1";"1000";untyped_2655; ;"2";"0";"0";2;0
 ; ;"200";"1";"2";"27";"3";"3100";untyped_1514; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"29";"2";"2000";untyped_762; ;"2";"0";"0";2;0
 ; ;"100";"2";"1";"7";"3";"3100";untyped_1366; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"26";"3";"3100";untyped_2255; ;"6";"1";"2";4;0
 ; ;"200";"1";"2";"58";"2";"2000";untyped_1958; ;"10";"2";"2";6;0
 ; ;"100";"2";"1";"15";"3";"3100";untyped_2104; ;"3";"1";"1";6;0
 ; ;"200";"2";"2";"42";"6";"6000";untyped_1429; ;"10";"2";"1";6;0
 ; ;"200";"1";"2";"49";"2";"2000";untyped_358; ;"3";"1";"1";3;0
 ; ;"100";"2";"1";"9";"3";"3100";untyped_403; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"41";"1";"1000";untyped_2262; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"34";"1";"1000";untyped_2005; ;"3";"1";"1";3;0
 ; ;"200";"2";"2";"32";"3";"3100";untyped_402; ;"10";"2";"1";6;0
 ; ;"200";"2";"2";"24";"2";"2000";untyped_747; ;"2";"0";"0";2;0
 ; ;"100";"2";"1";"4";"3";"3100";untyped_1126; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"45";"2";"2000";untyped_1113; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"13";"3";"3100";untyped_2259; ;"4";"1";"0";3;0
 ; ;"100";"1";"1";"3";"4";"4100";untyped_2517; ;"10";"1";"2";5;0
 ; ;"200";"2";"2";"44";"2";"2000";untyped_992; ;"3";"1";"1";3;0
 ; ;"200";"1";"2";"53";"1";"1000";untyped_2184; ;"3";"1";"1";3;0
 ; ;"100";"1";"1";"1";"3";"3100";untyped_2204; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"3";"3";"3100";untyped_24; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"87";"1";"1000";untyped_2724; ;"2";"0";"0";2;0
 ; ;"400";"2";"4";"59";"1";"1000";untyped_2341; ;"6";"1";"1";5;0
 ; ;"200";"2";"2";"27";"6";"6000";untyped_216; ;"10";"1";"1";6;0
 ; ;"200";"2";"2";"53";"2";"2000";untyped_2458; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"60";"1";"1000";untyped_32; ;"3";"1";"1";6;0
 ; ;"200";"2";"2";"45";"6";"6000";untyped_823; ;"10";"2";"1";5;0
 ; ;"100";"1";"1";"8";"4";"4100";untyped_2187; ;"10";"2";"2";6;0
 ; ;"200";"2";"2";"54";"1";"1000";untyped_1962; ;"10";"0";"0";6;0
 ; ;"200";"2";"2";"46";"2";"2000";untyped_1896; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"29";"3";"3100";untyped_2025; ;"10";"2";"3";8;0
 ; ;"100";"1";"1";"1";"4";"4100";untyped_2547; ;"10";"2";"2";6;0
 ; ;"100";"1";"1";"8";"4";"4100";untyped_2609; ;"10";"1";"2";4;0
 ; ;"200";"2";"2";"56";"2";"2000";untyped_323; ;"6";"2";"1";4;0
 ; ;"200";"1";"2";"55";"1";"1000";untyped_1680; ;"2";"0";"0";2;0
 ; ;"200";"2";"2";"57";"2";"2000";untyped_1284; ;"3";"1";"1";3;0
 ; ;"100";"2";"1";"10";"4";"4100";untyped_139; ;"10";"1";"2";5;0
 ; ;"200";"2";"2";"46";"2";"2000";untyped_125; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"48";"1";"1000";untyped_2064; ;"3";"1";"1";3;0
 ; ;"200";"1";"2";"45";"1";"1000";untyped_94; ;"10";"1";"1";5;0
 ; ;"200";"2";"2";"39";"2";"2000";untyped_25; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"33";"2";"2000";untyped_2556; ;"3";"1";"1";3;0
 ; ;"100";"2";"1";"1";"3";"3100";untyped_852; ;"3";"1";"1";3;0
 ; ;"200";"1";"2";"59";"1";"1000";untyped_2466; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"18";"3";"3100";untyped_1216; ;"3";"1";"1";4;0
 ; ;"400";"2";"4";"65";"1";"1000";untyped_800; ;"4";"1";"0";2;0
 ; ;"200";"1";"2";"49";"2";"2000";untyped_2013; ;"3";"1";"1";3;0
 ; ;"200";"1";"2";"31";"1";"1000";untyped_64; ;"3";"1";"1";3;0
 ; ;"200";"1";"2";"31";"4";"4100";untyped_1022; ;"10";"3";"1";9;0
 ; ;"100";"1";"1";"0";"3";"3100";untyped_21; ;"10";"1";"0";4;0
 ; ;"200";"2";"2";"60";"1";"1000";untyped_1448; ;"2";"0";"0";2;0
 ; ;"100";"1";"1";"13";"3";"3100";untyped_685; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"35";"3";"3100";untyped_440; ;"6";"1";"1";5;0
 ; ;"100";"2";"1";"3";"3";"3100";untyped_796; ;"3";"1";"1";3;0
 ; ;"200";"1";"2";"48";"3";"3100";untyped_2505; ;"10";"1";"2";4;0
 ; ;"100";"2";"1";"1";"4";"4100";untyped_2040; ;"10";"2";"1";4;0
 ; ;"100";"2";"1";"2";"4";"4100";untyped_216; ;"10";"1";"1";6;0
 ; ;"200";"1";"2";"54";"3";"3100";untyped_541; ;"10";"2";"1";4;0
 ; ;"200";"2";"2";"31";"2";"2000";untyped_646; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"45";"2";"2000";untyped_2445; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"10";"3";"3100";untyped_1438; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"17";"3";"3100";untyped_1466; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"0";"4";"4100";untyped_1530; ;"10";"2";"2";6;0
 ; ;"200";"2";"2";"50";"2";"2000";untyped_15; ;"10";"2";"1";5;0
 ; ;"200";"2";"2";"25";"1";"1000";untyped_1707; ;"10";"0";"0";4;0
 ; ;"200";"2";"2";"37";"6";"6000";untyped_252; ;"10";"3";"3";9;0
 ; ;"200";"1";"2";"29";"3";"3100";untyped_907; ;"10";"2";"2";6;0
 ; ;"100";"1";"1";"7";"3";"3100";untyped_1902; ;"10";"1";"1";5;0
 ; ;"200";"2";"2";"41";"2";"2000";untyped_1354; ;"10";"1";"1";6;0
 ; ;"100";"1";"1";"18";"6";"6000";untyped_2595; ;"10";"1";"1";4;0
 ; ;"200";"1";"2";"57";"2";"2000";untyped_2192; ;"6";"2";"1";4;0
 ; ;"100";"2";"1";"16";"3";"3100";untyped_1165; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"32";"2";"2000";untyped_744; ;"3";"1";"1";3;0
 ; ;"200";"1";"2";"30";"2";"2000";untyped_1435; ;"3";"1";"1";3;0
 ; ;"200";"1";"2";"51";"1";"1000";untyped_786; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"51";"2";"2000";untyped_2263; ;"3";"1";"1";4;0
 ; ;"400";"2";"4";"51";"1";"1000";untyped_79; ;"10";"1";"0";3;0
 ; ;"200";"1";"2";"55";"2";"2000";untyped_559; ;"3";"1";"1";3;0
 ; ;"200";"2";"2";"39";"2";"2000";untyped_2081; ;"3";"1";"1";3;0
 ; ;"200";"2";"2";"40";"2";"2000";untyped_2134; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"52";"2";"2000";untyped_1349; ;"6";"1";"0";3;0
 ; ;"350";"2";"3";"53";"1";"1000";untyped_1624; ;"4";"1";"0";3;0
 ; ;"200";"2";"2";"66";"1";"1000";untyped_66; ;"6";"3";"1";6;0
 ; ;"100";"1";"1";"8";"3";"3100";untyped_757; ;"3";"1";"1";4;0
 ; ;"100";"2";"1";"22";"3";"3100";untyped_1590; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"26";"2";"2000";untyped_1610; ;"10";"1";"1";4;0
 ; ;"200";"2";"2";"29";"6";"6000";untyped_1517; ;"10";"1";"1";4;0
 ; ;"100";"2";"1";"8";"3";"3100";untyped_1589; ;"4";"1";"0";2;0
 ; ;"100";"2";"1";"19";"3";"3100";untyped_896; ;"6";"2";"1";6;0
 ; ;"200";"2";"2";"53";"2";"2000";untyped_531; ;"10";"2";"2";5;0
 ; ;"400";"2";"4";"65";"1";"1000";untyped_2091; ;"10";"2";"1";4;0
 ; ;"100";"2";"1";"0";"3";"3100";untyped_391; ;"3";"1";"1";3;0
 ; ;"200";"2";"2";"25";"3";"3100";untyped_2627; ;"10";"2";"2";6;0
 ; ;"200";"2";"2";"31";"6";"6000";untyped_2065; ;"10";"2";"2";6;0
 ; ;"200";"1";"2";"37";"3";"3100";untyped_123; ;"10";"2";"2";5;0
 ; ;"200";"2";"2";"35";"6";"6000";untyped_862; ;"10";"2";"1";5;0
 ; ;"200";"1";"2";"27";"3";"3100";untyped_586; ;"10";"1";"2";6;0
 ; ;"100";"2";"1";"12";"3";"3100";untyped_2166; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"23";"3";"3100";untyped_1586; ;"10";"1";"0";4;0
 ; ;"200";"1";"2";"52";"2";"2000";untyped_108; ;"10";"1";"1";6;0
 ; ;"400";"2";"4";"84";"4";"4200";untyped_433; ;"6";"2";"1";5;0
 ; ;"100";"1";"1";"32";"3";"3100";untyped_1730; ;"10";"2";"1";7;0
 ; ;"200";"1";"2";"39";"3";"3100";untyped_1531; ;"10";"2";"1";8;0
 ; ;"200";"1";"2";"34";"6";"6000";untyped_2567; ;"10";"2";"2";6;0
 ; ;"200";"2";"2";"53";"2";"2000";untyped_594; ;"3";"1";"1";3;0
 ; ;"100";"2";"1";"4";"4";"4100";untyped_851; ;"10";"2";"2";6;0
 ; ;"400";"2";"4";"80";"4";"4200";untyped_1639; ;"6";"2";"1";5;0
 ; ;"100";"1";"1";"2";"3";"3100";untyped_1007; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"47";"2";"2000";untyped_2654; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"12";"3";"3100";untyped_795; ;"3";"1";"1";5;0
 ; ;"200";"2";"2";"75";"2";"2000";untyped_1054; ;"10";"2";"2";6;0
 ; ;"100";"1";"1";"27";"3";"3100";untyped_1671; ;"3";"1";"1";5;0
 ; ;"100";"2";"1";"7";"4";"4100";untyped_707; ;"10";"2";"1";5;0
 ; ;"100";"2";"1";"19";"3";"3100";untyped_195; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"37";"1";"1000";untyped_2302; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"41";"2";"2000";untyped_2695; ;"10";"1";"1";5;0
 ; ;"100";"2";"1";"26";"3";"3100";untyped_2015; ;"4";"0";"1";2;0
 ; ;"100";"2";"1";"4";"4";"4100";untyped_2187; ;"10";"2";"2";6;0
 ; ;"100";"2";"1";"17";"3";"3100";untyped_1317; ;"6";"2";"1";6;0
 ; ;"200";"1";"2";"47";"1";"1000";untyped_981; ;"3";"1";"1";4;0
 ; ;"350";"2";"3";"47";"1";"1000";untyped_376; ;"4";"1";"0";2;0
 ; ;"100";"2";"1";"4";"3";"3100";untyped_1257; ;"3";"1";"1";4;0
 ; ;"200";"2";"2";"50";"2";"2000";untyped_111; ;"10";"2";"2";5;0
 ; ;"100";"1";"1";"25";"3";"3100";untyped_697; ;"3";"1";"1";4;0
 ; ;"100";"1";"1";"3";"4";"4100";untyped_667; ;"10";"3";"3";8;0
 ; ;"200";"2";"2";"23";"6";"6000";untyped_1330; ;"10";"1";"2";4;0
 ; ;"200";"1";"2";"24";"3";"3100";untyped_1041; ;"10";"4";"2";8;0
 ; ;"400";"2";"4";"62";"4";"4200";untyped_387; ;"6";"2";"1";5;0
 ; ;"200";"1";"2";"45";"1";"1000";untyped_276; ;"2";"0";"0";2;0
 ; ;"350";"2";"3";"51";"1";"1000";untyped_558; ;"6";"2";"0";3;0
 ; ;"400";"2";"4";"73";"4";"4200";untyped_262; ;"10";"2";"0";5;0
 ; ;"200";"1";"2";"39";"1";"1000";untyped_1102; ;"3";"1";"1";5;0
 ; ;"200";"2";"2";"54";"1";"1000";untyped_629; ;"10";"2";"1";6;0
 ; ;"200";"1";"2";"82";"1";"1000";untyped_2231; ;"3";"1";"1";3;0
 ; ;"200";"1";"2";"52";"1";"1000";untyped_2528; ;"3";"1";"1";5;0
 ; ;"100";"2";"1";"26";"3";"3100";untyped_510; ;"3";"1";"1";5;0
 ; ;"100";"1";"1";"56";"3";"3100";untyped_2228; ;"4";"1";"0";2;0
 ; ;"100";"2";"1";"12";"1";"1000";untyped_958; ;"10";"0";"0";2;0
 ; ;"200";"1";"2";"45";"1";"1000";untyped_2682; ;"3";"1";"1";4;0
 ; ;"200";"1";"2";"24";"3";"3100";untyped_2065; ;"10";"2";"2";6;0
 ; ;"400";"1";"4";"70";"1";"1000";untyped_2533; ;"10";"1";"1";4;0
 ; ;"200";"2";"2";"60";"2";"2000";untyped_730; ;"3";"1";"1";3;0
 ; ;"200";"2";"2";"33";"3";"3100";untyped_672; ;"10";"2";"2";6;0
 ; ;"200";"1";"2";"38";"3";"3100";untyped_570; ;"10";"2";"2";5;0
